price,year,manufacturer_name,fuel,odometer,gear,country
12777,2013,honda,gas,92414.0,automatic,US
13677,2014,honda,gas,105393.0,automatic,US
12500,2014,toyota,hybrid,94000.0,automatic,US
6895,2008,mercedes-benz,diesel,179350.0,automatic,US
7500,2000,toyota,gas,212000.0,automatic,US
17900,2014,gmc,gas,200000.0,automatic,US
2000,2011,lexus,gas,117852.0,automatic,US
13454,2012,honda,gas,27326.0,automatic,US
12788,2010,lexus,gas,139260.0,automatic,US
15988,2013,toyota,gas,138733.0,automatic,US
25677,2017,toyota,gas,110112.0,automatic,US
14800,2014,honda,gas,115000.0,automatic,US
3000,1998,ford,gas,119000.0,automatic,US
11000,2015,toyota,gas,108000.0,automatic,US
7999,2007,toyota,gas,202000.0,automatic,US
15000,2013,acura,gas,64450.0,automatic,US
8000,2002,lexus,gas,119000.0,automatic,US
